Model,Trial,Best_Score_So_Far
XGB,18,0.9907708333333334
XGB,19,0.9907708333333334
XGB,20,0.9907708333333334
XGB,21,0.9907708333333334
XGB,22,0.9907708333333334
XGB,23,0.9907708333333334
XGB,24,0.9907708333333334
XGB,25,0.9907708333333334
XGB,26,0.9907708333333334
XGB,27,0.9907708333333334
XGB,28,0.9907708333333334
XGB,29,0.9907708333333334
XGB,30,0.9907708333333334
XGB,31,0.9907708333333334
XGB,32,0.9907708333333334
XGB,33,0.9907708333333334
XGB,34,0.9909374999999999
XGB,35,0.9909374999999999
XGB,36,0.9909374999999999
XGB,37,0.9909374999999999
XGB,38,0.9909374999999999
XGB,39,0.9909374999999999
XGB,40,0.9909374999999999
XGB,41,0.9909374999999999
XGB,42,0.9909374999999999
XGB,43,0.9909374999999999
XGB,44,0.9909374999999999
XGB,45,0.9909374999999999
XGB,46,0.9909374999999999
XGB,47,0.9909374999999999
XGB,48,0.9909583333333332
XGB,49,0.9909583333333332
XGB,50,0.9909583333333332
