Model,Optimizer,Iteration,Best_Score_So_Far
LR,GWO,46,0.897375
LR,GWO,47,0.897375
LR,GWO,48,0.897375
LR,GWO,49,0.897375
LR,GWO,50,0.897375
LinearSVC,TPE,1,0.8826041666666666
LinearSVC,TPE,2,0.8946458333333334
LinearSVC,TPE,3,0.8946458333333334
LinearSVC,TPE,4,0.8970416666666665
LinearSVC,TPE,5,0.8970416666666665
LinearSVC,TPE,6,0.8970416666666665
LinearSVC,TPE,7,0.8970416666666665
LinearSVC,TPE,8,0.8970416666666665
LinearSVC,TPE,9,0.8970416666666665
LinearSVC,TPE,10,0.8970416666666665
LinearSVC,TPE,11,0.8970416666666665
LinearSVC,TPE,12,0.8970416666666665
LinearSVC,TPE,13,0.8970416666666665
LinearSVC,TPE,14,0.8970416666666665
LinearSVC,TPE,15,0.8970416666666665
LinearSVC,TPE,16,0.8970416666666665
LinearSVC,TPE,17,0.8970416666666665
LinearSVC,TPE,18,0.8970625
LinearSVC,TPE,19,0.8970625
LinearSVC,TPE,20,0.8970625
LinearSVC,TPE,21,0.8970625
LinearSVC,TPE,22,0.8970625
LinearSVC,TPE,23,0.8970625
LinearSVC,TPE,24,0.8970625
LinearSVC,TPE,25,0.8970625
LinearSVC,TPE,26,0.8970625
LinearSVC,TPE,27,0.8970625
LinearSVC,TPE,28,0.8970625
LinearSVC,TPE,29,0.8970625
LinearSVC,TPE,30,0.8970625
LinearSVC,TPE,31,0.8970625
LinearSVC,TPE,32,0.8970625
LinearSVC,TPE,33,0.8970625
LinearSVC,TPE,34,0.8970625
LinearSVC,TPE,35,0.8970625
LinearSVC,TPE,36,0.8970625
LinearSVC,TPE,37,0.8970625
LinearSVC,TPE,38,0.8970625
LinearSVC,TPE,39,0.8970625
LinearSVC,TPE,40,0.8970625
LinearSVC,TPE,41,0.8970625
LinearSVC,TPE,42,0.8970625
LinearSVC,TPE,43,0.8970625
LinearSVC,TPE,44,0.8970625
LinearSVC,TPE,45,0.8970625
LinearSVC,TPE,46,0.8970625
LinearSVC,TPE,47,0.8970625
LinearSVC,TPE,48,0.8970625
LinearSVC,TPE,49,0.8970625
LinearSVC,TPE,50,0.8970625
LinearSVC,GWO,1,0.8969583333333333
LinearSVC,GWO,2,0.8970416666666667
LinearSVC,GWO,3,0.8970416666666667
LinearSVC,GWO,4,0.8970416666666667
LinearSVC,GWO,5,0.8970416666666667
LinearSVC,GWO,6,0.8970416666666667
LinearSVC,GWO,7,0.8970416666666667
LinearSVC,GWO,8,0.8970416666666667
LinearSVC,GWO,9,0.8970416666666667
LinearSVC,GWO,10,0.8970416666666667
LinearSVC,GWO,11,0.8970416666666667
LinearSVC,GWO,12,0.8970416666666667
LinearSVC,GWO,13,0.8970416666666667
LinearSVC,GWO,14,0.8970416666666667
LinearSVC,GWO,15,0.8970416666666667
LinearSVC,GWO,16,0.8970416666666667
LinearSVC,GWO,17,0.8970416666666667
LinearSVC,GWO,18,0.8970416666666667
LinearSVC,GWO,19,0.8970416666666667
LinearSVC,GWO,20,0.8970416666666667
LinearSVC,GWO,21,0.8970416666666667
LinearSVC,GWO,22,0.8970416666666667
LinearSVC,GWO,23,0.8970416666666667
