Scaler,Model,Metric,Mean,Std
MinMax,SGD,accuracy,0.8537708333333335,0.0032738176406825682
MinMax,SGD,f1,0.8844406946725654,0.003514462903276133
MinMax,SGD,precision,0.8917976798210372,0.005177740922740753
MinMax,SGD,recall,0.8773513323291434,0.011327978311878146
MinMax,SGD,roc_auc,0.9340337626622152,0.0017137712822650332
MinMax,SGD,matthews_corrcoef,0.6857578443539087,0.005198855859229603
Robust,LR,accuracy,0.8565416666666668,0.0026437820132025466
Robust,LR,f1,0.8880830921001802,0.002077817788892185
Robust,LR,precision,0.8840633655082598,0.0022967613236471395
Robust,LR,recall,0.89214340367107,0.0026058380994374
Robust,LR,roc_auc,0.9362527915313541,0.001633938074676148
Robust,LR,matthews_corrcoef,0.6883997159094605,0.005737807881465424
Robust,LDA,accuracy,0.8554999999999999,0.0021963116177405716
Robust,LDA,f1,0.8859126839471634,0.0017648349653460824
Robust,LDA,precision,0.8925611547064026,0.0027677339054022355
Robust,LDA,recall,0.8793756195097242,0.0032129022116366207
Robust,LDA,roc_auc,0.9342051922450741,0.0017888006341795345
Robust,LDA,matthews_corrcoef,0.6890793278955348,0.0047824122349033075
Robust,QDA,accuracy,0.8231041666666666,0.024769545452923494
Robust,QDA,f1,0.8691915732331618,0.014412595358775064
Robust,QDA,precision,0.8281003865357466,0.043808634617907356
Robust,QDA,recall,0.918463322624935,0.03797704913616839
Robust,QDA,roc_auc,0.9109698340199064,0.010726575692461658
Robust,QDA,matthews_corrcoef,0.6124341138743508,0.05781601551437129
Robust,NB,accuracy,0.8308958333333333,0.0027231963959859834
Robust,NB,f1,0.8653384765334187,0.002578563596530668
Robust,NB,precision,0.8794819909031986,0.0032495312162746713
Robust,NB,recall,0.8516849598101814,0.006261731231171983
Robust,NB,roc_auc,0.9046894890962289,0.0020091806155118058
Robust,NB,matthews_corrcoef,0.6389118622475427,0.005145349313618999
Robust,KNN,accuracy,0.9217708333333334,0.0016666666666666913
Robust,KNN,f1,0.9397188166949532,0.0013529408082385516
Robust,KNN,precision,0.924216087767897,0.0006972025573952743
Robust,KNN,recall,0.9557535291059599,0.0024914029694624554
Robust,KNN,roc_auc,0.9721758853047376,0.001472190763792563
Robust,KNN,matthews_corrcoef,0.8293638370817893,0.0036280946517659694
Robust,LinearSVC,accuracy,0.8563541666666665,0.002641811247357891
Robust,LinearSVC,f1,0.8878220901303667,0.0020718255759084167
Robust,LinearSVC,precision,0.8847019125597256,0.002310618921430625
Robust,LinearSVC,recall,0.8909678561431104,0.0025201003111134197
Robust,LinearSVC,roc_auc,0.9362661529641413,0.0016295387841730505
Robust,LinearSVC,matthews_corrcoef,0.6882148257013863,0.005739434660697456
Robust,SVM,accuracy,0.9784375000000001,0.0008149003006503308
Robust,SVM,f1,0.9831758435220314,0.0006236995988111004
Robust,SVM,precision,0.9789000813154394,0.001836072427335467
Robust,SVM,recall,0.9874935256401711,0.0012958198049373522
Robust,SVM,roc_auc,0.9982910475171496,0.0002076325892513895
Robust,SVM,matthews_corrcoef,0.9532400520324892,0.0017748895120334397
Robust,AdaBoost,accuracy,0.8875624999999999,0.007039878964395153
Robust,AdaBoost,f1,0.9128026047079606,0.005773642264053663
Robust,AdaBoost,precision,0.9031834080160278,0.00394388420632278
Robust,AdaBoost,recall,0.922675007664725,0.009746743103313627
Robust,AdaBoost,roc_auc,0.9575827023519174,0.004560711191076148
Robust,AdaBoost,matthews_corrcoef,0.7550248681356346,0.014947599858804443
Robust,RF,accuracy,0.9599583333333334,0.0020429417786885546
Robust,RF,f1,0.9689026553259374,0.0015870718860894765
Robust,RF,precision,0.9602367734335304,0.0020247832981408346
Robust,RF,recall,0.9777298444394088,0.002062006373630518
Robust,RF,roc_auc,0.9941254699237276,0.0004151446375406483
Robust,RF,matthews_corrcoef,0.9130066465385202,0.0044570246203995256
